"V2" "V3" "V4"
"92" 600160 6744500 2849.8
"93" 600160 6744600 2841.8
"94" 600160 6744600 2833.3
"95" 600160 6744700 2810.7
"96" 600160 6744700 2805.5
"97" 600160 6744700 2801.6
"98" 600160 6744800 2797.5
"99" 600160 6744800 2793.1
"100" 600160 6744800 2788.9
"101" 600160 6744900 2785.6
"102" 600160 6744900 2784.4
"103" 600160 6744900 2784.6
"104" 600160 6745000 2786.4
"105" 600160 6745000 2789.5
"106" 600160 6745000 2793.5
"107" 600160 6745000 2798.8
"108" 600160 6745100 2806.4
"109" 600190 6744200 2955.1
"110" 600190 6744300 2942.5
"111" 600190 6744300 2928.4
"112" 600190 6744300 2913.4
"113" 600190 6744400 2898.7
"114" 600190 6744400 2885.5
"115" 600190 6744400 2873.7
"116" 600190 6744400 2863.3
"117" 600190 6744500 2852.8
"118" 600190 6744500 2846.6
"119" 600190 6744500 2838.4
"120" 600190 6744600 2831
"121" 600190 6744600 2822.6
"122" 600190 6744600 2815.1
"123" 600190 6744600 2807.8
"124" 600190 6744700 2800.1
"125" 600190 6744700 2794.1
"126" 600190 6744700 2789.6
"127" 600190 6744800 2785.3
"128" 600190 6744800 2781.2
"129" 600190 6744800 2776.9
"130" 600190 6744900 2773.6
"131" 600190 6744900 2771.8
"132" 600190 6744900 2770.8
"133" 600190 6745000 2771.7
"134" 600190 6745000 2774.7
"135" 600190 6745000 2778
"136" 600190 6745000 2782.3
"137" 600190 6745100 2787.3
"138" 600190 6745100 2793.4
"139" 600220 6744200 2950.1
"140" 600220 6744300 2936.6
"141" 600220 6744300 2919.9
"142" 600220 6744300 2903.7
"143" 600220 6744400 2889.6
"144" 600220 6744400 2875
"145" 600220 6744400 2862.7
"146" 600220 6744400 2849.5
"147" 600220 6744500 2843.5
"148" 600220 6744500 2835.4
"149" 600220 6744500 2828.8
"150" 600220 6744600 2821.6
"151" 600220 6744600 2814.3
"152" 600220 6744600 2806.5
"153" 600220 6744600 2798.9
"154" 600220 6744700 2791.5
"155" 600220 6744700 2785.1
"156" 600220 6744700 2779.9
"157" 600220 6744800 2775.3
"158" 600220 6744800 2770.9
"159" 600220 6744800 2766.3
"160" 600220 6744900 2763.2
"161" 600220 6744900 2760.3
"162" 600220 6744900 2758.5
"163" 600220 6745000 2758.4
"164" 600220 6745000 2761.6
"165" 600220 6745000 2764.5
"166" 600220 6745000 2767.1
"167" 600220 6745100 2769.3
"168" 600220 6745100 2771.9
"169" 600220 6745100 2774.8
"170" 600250 6744300 2925.7
"171" 600250 6744300 2908.3
"172" 600250 6744300 2891.4
"173" 600250 6744400 2876
"174" 600250 6744400 2863.2
"175" 600250 6744400 2852.5
"176" 600250 6744400 2840.8
"177" 600250 6744500 2832.4
"178" 600250 6744500 2824.5
"179" 600250 6744500 2819.7
"180" 600250 6744600 2813.8
"181" 600250 6744600 2806.7
"182" 600250 6744600 2799.4
"183" 600250 6744600 2791.4
"184" 600250 6744700 2784
"185" 600250 6744700 2777.3
"186" 600250 6744700 2772.1
"187" 600250 6744800 2767.1
"188" 600250 6744800 2762.4
"189" 600250 6744800 2757.7
"190" 600250 6744900 2754.1
"191" 600250 6744900 2750.9
"192" 600250 6744900 2749
"193" 600250 6745000 2749.6
"194" 600250 6745000 2752.2
"195" 600250 6745000 2754.5
"196" 600250 6745000 2754.2
"197" 600250 6745100 2753.4
"198" 600250 6745100 2752.2
"199" 600250 6745100 2751.5
"200" 600280 6744300 2893.1
"201" 600280 6744300 2876.6
"202" 600280 6744400 2862.1
"203" 600280 6744400 2850.4
"204" 600280 6744400 2841.4
"205" 600280 6744400 2831.2
"206" 600280 6744500 2824.2
"207" 600280 6744500 2818.6
"208" 600280 6744500 2812.3
"209" 600280 6744600 2806.9
"210" 600280 6744600 2800.1
"211" 600280 6744600 2792.9
"212" 600280 6744600 2785.4
"213" 600280 6744700 2777.9
"214" 600280 6744700 2771
"215" 600280 6744700 2765.4
"216" 600280 6744800 2760.2
"217" 600280 6744800 2755.3
"218" 600280 6744800 2750.5
"219" 600280 6744900 2746.9
"220" 600280 6744900 2744.5
"221" 600280 6744900 2744.3
"222" 600280 6745000 2745.8
"223" 600280 6745000 2747.8
"224" 600280 6745000 2747.1
"225" 600280 6745000 2744.1
"226" 600280 6745100 2739.6
"227" 600280 6745100 2734.8
"228" 600280 6745100 2731.3
"229" 600310 6744300 2857.6
"230" 600310 6744400 2846.6
"231" 600310 6744400 2836.5
"232" 600310 6744400 2828.5
"233" 600310 6744400 2822.4
"234" 600310 6744500 2817.6
"235" 600310 6744500 2812.2
"236" 600310 6744500 2807.2
"237" 600310 6744600 2801.4
"238" 600310 6744600 2795.5
"239" 600310 6744600 2787.8
"240" 600310 6744600 2779.9
"241" 600310 6744700 2772.9
"242" 600310 6744700 2765.9
"243" 600310 6744700 2759.7
"244" 600310 6744800 2753.9
"245" 600310 6744800 2749
"246" 600310 6744800 2744.8
"247" 600310 6744900 2742.1
"248" 600310 6744900 2740.9
"249" 600310 6744900 2741.3
"250" 600310 6745000 2743
"251" 600310 6745000 2743.9
"252" 600310 6745000 2741.9
"253" 600310 6745000 2737.4
"254" 600310 6745100 2728.7
"255" 600310 6745100 2720.8
"256" 600310 6745100 2715.2
"257" 600310 6745200 2711.3
"258" 600340 6744300 2842.9
"259" 600340 6744400 2833.4
"260" 600340 6744400 2823.5
"261" 600340 6744400 2816.9
"262" 600340 6744400 2814.9
"263" 600340 6744500 2812.8
"264" 600340 6744500 2808.9
"265" 600340 6744500 2803.8
"266" 600340 6744600 2797.9
"267" 600340 6744600 2792.2
"268" 600340 6744600 2784.2
"269" 600340 6744600 2776.5
"270" 600340 6744700 2768.9
"271" 600340 6744700 2761.4
"272" 600340 6744700 2754.6
"273" 600340 6744800 2748.7
"274" 600340 6744800 2744
"275" 600340 6744800 2740.8
"276" 600340 6744900 2738.9
"277" 600340 6744900 2738.2
"278" 600340 6744900 2738.6
