"V1" "V2" "V3"
"364" 600430 6744440 2804.497
"365" 601180 6745250 2563.189
"366" 601810 6745880 2845.25
"367" 601060 6744080 2454.248
"368" 602470 6744110 2335.725
"369" 600430 6744560 2788.941
"370" 601600 6744590 2456.439
"371" 601990 6742370 2049.599
"372" 601870 6743990 2347.841
"373" 600340 6744350 2833.439
"374" 601810 6744080 2375.936
"375" 602050 6744530 2429.271
"376" 601780 6743900 2325.94
"377" 602710 6745040 2673.659
"378" 601300 6745880 2629.489
"379" 602230 6744260 2380.383
"380" 602440 6743270 2227.993
"381" 602290 6743210 2205.888
"382" 600550 6744920 2712.793
"383" 602110 6744470 2412.032
"384" 601900 6743510 2258.954
"385" 603040 6744560 2624.81
"386" 601810 6745190 2522.058
"387" 601750 6744920 2511.485
"388" 601960 6744050 2357.828
"389" 600970 6745220 2623.221
"390" 602170 6743960 2318.788
"391" 602140 6742820 2138.123
"392" 600700 6744560 2734.673
"393" 603100 6745010 2733.812
"394" 601510 6745940 2672.865
"395" 602110 6743960 2317.12
"396" 600130 6744290 2931.799
"397" 602170 6743420 2240.884
"398" 602380 6744140 2343.617
"399" 601390 6744710 2500.139
"400" 601210 6745460 2575.754
"401" 600760 6743630 2762.36
"402" 602260 6744320 2390.271
"403" 602080 6742430 2051.078
"404" 600850 6744200 2511.004
"405" 600850 6745340 2641.623
"406" 601630 6743870 2328.289
"407" 600910 6745250 2634.249
"408" 601990 6743510 2260.831
"409" 602350 6742670 2108.342
"410" 602440 6744470 2390.825
"411" 602230 6744110 2331.898
"412" 602620 6744080 2329.602
"413" 600850 6743660 2684.738
"414" 602050 6742910 2154.354
"415" 602710 6743480 2288.483
"416" 601210 6743630 2501.793
"417" 601600 6744950 2529.205
"418" 602530 6744350 2369.811
"419" 600130 6744440 2883.409
"420" 601570 6743900 2341.065
"421" 602560 6743360 2230.542
"422" 601480 6745160 2553.551
"423" 600160 6745010 2793.455
"424" 602170 6742610 2089.242
"425" 602920 6743840 2413.006
"426" 600910 6743660 2628.463
"427" 600970 6745550 2607.13
"428" 601810 6745340 2526.82
"429" 601270 6744800 2531.053
"430" 602890 6743690 2360.328
"431" 601000 6744110 2470.655
"432" 600670 6744920 2694.875
"433" 602050 6743120 2193.493
"434" 603070 6744050 2486.878
"435" 600880 6744710 2700.691
"436" 601930 6744350 2419.495
"437" 603190 6744230 2530.1
"438" 600880 6745520 2616.646
"439" 602470 6744200 2351.196
"440" 600520 6745370 2678.383
"441" 600850 6743720 2619.701
"442" 601300 6744770 2525.11
"443" 601360 6745460 2563.041
"444" 600640 6745250 2662.881
"445" 602020 6743780 2292.28
"446" 602350 6743570 2266.376
"447" 601990 6743930 2319.586
"448" 600940 6745310 2623.112
"449" 601570 6744170 2403.171
"450" 601060 6745400 2585.534
"451" 600370 6744710 2757.623
"452" 601060 6745220 2593.867
"453" 600190 6744740 2789.623
"454" 602500 6743960 2310.769
